accuracy_score;cost_per_task_cents;task_complexity;execution_time_seconds;;;
0.6191;0.0306;5;81.21;;;
0.7694;0.0112;4;25.16;;;
0.5661;0.012;6;23.55;;;
0.6597;0.015;3;35.65;;;
0.4;0.0251;9;58.85;;;
0.5021;0.026;7;63.82;;;
0.6424;0.0262;5;67.77;;;
0.6301;0.0074;5;11.39;;;
0.7823;0.0091;3;19.06;;;
0.4684;0.0239;7;59.23;;;
0.4999;0.027;8;66.66;;;
0.7706;0.0096;3;20.57;;;
0.6613;0.0208;4;53.46;;;
0.6357;0.0137;6;28.43;;;
0.4804;0.0308;7;78.65;;;
0.7278;0.0139;4;31.6;;;
0.435;0.0167;8;34.93;;;
0.7038;0.0079;3;15.21;;;
0.4732;0.0267;7;65.68;;;
0.6323;0.0152;5;35.88;;;
0.7141;0.0188;4;49.03;;;
0.4742;0.0151;8;31.16;;;
0.7498;0.0186;3;47.51;;;
0.8499;0.0097;3;20.79;;;
0.45;0.0355;9;91.16;;;
0.4;0.0336;9;85.75;;;
0.8115;0.0172;3;44.84;;;
0.424;0.0169;8;35.73;;;
0.4012;0.0138;8;24.57;;;
0.4194;0.0378;10;95.01;;;
0.6261;0.0176;5;43.83;;;
0.5463;0.0221;5;56.28;;;
0.4724;0.02;7;47.11;;;
0.4;0.0314;10;75.62;;;
0.4242;0.0234;10;52.15;;;
0.427;0.0533;7;145.63;;;
0.6701;0.0157;4;39.13;;;
0.6979;0.0173;3;44.52;;;
0.4389;0.0212;8;48.99;;;
0.4453;0.0312;7;80.56;;;
0.5404;0.0203;6;47.66;;;
0.4865;0.0136;7;26.19;;;
0.5156;0.0277;7;68.3;;;
0.4;0.0347;10;84.83;;;
0.5793;0.0133;6;27.26;;;
0.7444;0.0122;3;30.07;;;
0.5758;0.0218;6;53.1;;;
0.554;0.0557;8;153.2;;;
0.6092;0.0125;5;26.84;;;
0.6369;0.0148;5;32.81;;;
0.5129;0.0199;7;46.18;;;
0.5827;0.029;5;75.46;;;
0.5228;0.0223;8;51.75;;;
0.5164;0.021;7;49.58;;;
0.5397;0.0161;6;38.38;;;
0.7426;0.0143;4;34.01;;;
0.5673;0.0167;5;41.34;;;
0.4;0.015;10;27.43;;;
0.5021;0.0346;7;90.85;;;
0.7279;0.0071;4;11.95;;;
0.5001;0.0337;8;85;;;
0.5752;0.0239;7;56.21;;;
0.4637;0.0252;7;63.21;;;
0.6001;0.0131;6;26.03;;;
0.6313;0.013;6;25.58;;;
0.4;0.0188;9;39.9;;;
0.5259;0.015;7;32.17;;;
0.4905;0.0141;9;26.94;;;
0.4978;0.0159;7;34.26;;;
0.7349;0.0072;3;14.24;;;
0.4;0.0335;9;84.09;;;
0.5914;0.0268;6;67.91;;;
0.5626;0.0101;6;16.7;;;
0.4038;0.0318;10;79.26;;;
0.4;0.0126;9;22.79;;;
0.4441;0.0196;9;43.28;;;
0.818;0.0209;3;56.98;;;
0.5625;0.0353;6;93.56;;;
0.5784;0.0225;4;58.49;;;
0.5785;0.012;4;26.05;;;
0.4477;0.0316;9;79.79;;;
0.8218;0.0114;3;25.48;;;
0.5233;0.0078;6;12.74;;;
0.7726;0.01;2;23.88;;;
0.6666;0.0048;4;7.23;;;
0.6373;0.0216;5;54.54;;;
0.7376;0.0107;3;23.66;;;
0.5906;0.0228;6;58.96;;;
0.7354;0.0078;4;14.54;;;
0.4979;0.0137;7;27.79;;;
0.4;0.0279;10;65.95;;;
0.6582;0.0231;5;60.11;;;
0.7731;0.01;3;23.16;;;
0.6697;0.0171;4;40.6;;;
0.492;0.0344;7;88.01;;;
0.4;0.0253;9;59.04;;;
0.7638;0.0091;3;20.64;;;
0.525;0.0135;6;27.8;;;
0.4577;0.0216;7;52.68;;;
0.4;0.0276;9;67.24;;;
0.6843;0.011;4;23.89;;;
0.4002;0.0166;9;34.26;;;
0.4724;0.0283;7;69.38;;;
0.4243;0.0257;8;64.08;;;
0.5431;0.0157;6;36.16;;;
0.4;0.0299;9;74.81;;;
0.6984;0.0081;4;16.06;;;
0.4216;0.0235;8;55.13;;;
0.4;0.0178;9;37.2;;;
0.71;0.007;2;15.35;;;
0.649;0.0142;6;29.74;;;
0.4722;0.0231;7;55.59;;;
0.4;0.0173;9;36.86;;;
0.4762;0.0303;7;75.65;;;
0.6266;0.0218;5;55.22;;;
0.7676;0.0184;3;46.64;;;
0.4756;0.0393;7;104.76;;;
0.4;0.0441;10;113.86;;;
0.4;0.0268;10;62.61;;;
0.5589;0.0177;7;39.85;;;
0.6741;0.0114;4;27.14;;;
0.5868;0.0134;6;28.57;;;
0.5501;0.0134;6;29.21;;;
0.4176;0.0202;8;47.24;;;
0.686;0.0151;6;34.05;;;
0.5164;0.0289;6;76.04;;;
0.4;0.0261;9;62.93;;;
0.6123;0.0163;4;40.44;;;
0.7333;0.0101;4;21.71;;;
0.8005;0.0175;3;43.58;;;
0.4;0.0245;8;57.84;;;
0.5039;0.022;5;55.66;;;
0.4444;0.0349;9;86.51;;;
0.4068;0.0168;9;31.51;;;
0.6202;0.0187;5;45.71;;;
0.5614;0.0321;6;85.63;;;
0.672;0.014;4;31.7;;;
0.5965;0.0263;7;64.3;;;
0.6586;0.0197;5;48.24;;;
0.5902;0.0136;6;28.27;;;
0.4581;0.0267;8;65.15;;;
0.4;0.0184;9;37.78;;;
0.6867;0.0088;3;19.36;;;
0.769;0.0117;3;26.83;;;
0.4;0.0333;10;79.4;;;
0.5032;0.014;7;28.09;;;
0.718;0.0081;3;17.08;;;
0.6282;0.0128;5;27.77;;;
0.5089;0.0118;7;20.42;;;
0.6232;0.0117;5;25.5;;;
0.4;0.0189;9;39.51;;;
0.8319;0.0175;3;45.81;;;
0.6184;0.0205;6;49.44;;;
0.6821;0.0098;4;20.27;;;
0.5848;0.0299;6;77.5;;;
0.464;0.0291;7;74.27;;;
0.5837;0.022;6;54.61;;;
0.5001;0.0228;7;54.65;;;
0.5197;0.026;7;64.11;;;
0.4224;0.0275;9;66.79;;;
0.4042;0.0267;9;63.35;;;
0.4;0.022;9;47.75;;;
0.5894;0.0185;7;41.29;;;
0.5992;0.0233;5;58.55;;;
0.6503;0.0199;5;49;;;
0.5944;0.009;6;16.15;;;
0.5534;0.0224;6;55.15;;;
0.6012;0.029;5;78.24;;;
0.7658;0.0112;3;26.16;;;
0.5106;0.0195;7;45.58;;;
0.6202;0.0226;6;56.6;;;
0.6355;0.0187;4;47.3;;;
0.47;0.0389;8;101.51;;;
0.4;0.0224;9;50.74;;;
0.4406;0.0235;8;54.91;;;
0.6502;0.0182;5;42.52;;;
0.4;0.0319;10;78.18;;;
0.5264;0.0215;8;50.28;;;
0.4;0.0204;8;46.73;;;
0.4;0.0585;10;156.26;;;
0.5676;0.0173;6;39.2;;;
0.4177;0.0374;9;95.78;;;
0.4;0.0217;9;49.27;;;
0.6225;0.0237;4;60.67;;;
0.5463;0.0209;8;48.07;;;
0.5271;0.0107;7;18.89;;;
0.6433;0.021;4;53.04;;;
0.6399;0.0115;5;24.31;;;
0.4;0.0281;10;67.56;;;
0.5007;0.0241;7;59.14;;;
0.5675;0.0266;6;68.82;;;
0.599;0.0266;6;68.65;;;
0.6814;0.0109;5;22.67;;;
0.4078;0.0117;8;20.76;;;
0.6469;0.0113;5;23.1;;;
0.579;0.0078;5;13.07;;;
0.6285;0.0242;6;61.66;;;
0.5263;0.0126;7;24.58;;;
0.5579;0.0212;5;53.65;;;
0.4;0.0159;10;30.6;;;
0.4;0.0156;10;27.5;;;
0.4;0.0381;8;98.1;;;
0.7551;0.0201;3;51.72;;;
0.4;0.0315;9;78.51;;;
0.4957;0.0146;7;30.63;;;
0.7213;0.0151;3;39.1;;;
0.8156;0.0112;2;27.99;;;
0.4902;0.0175;6;39.24;;;
0.5748;0.0209;6;50.05;;;
0.8173;0.016;4;39.37;;;
0.4677;0.0122;7;22.11;;;
0.7536;0.0095;3;21.39;;;
0.4004;0.0191;9;40.52;;;
0.5232;0.0155;7;32.93;;;
0.6513;0.0136;6;29.49;;;
0.489;0.0175;7;40.14;;;
0.8252;0.0144;3;36.37;;;
0.6629;0.022;5;53.54;;;
0.7215;0.0138;4;33.89;;;
0.4;0.0287;9;69.75;;;
0.4197;0.0196;7;45.2;;;
0.6242;0.0282;7;71.77;;;
0.6866;0.0137;5;29.24;;;
0.8258;0.0208;3;54.58;;;
0.4;0.0384;9;98.57;;;
0.4;0.0395;8;103.67;;;
0.6094;0.0248;6;61.1;;;
0.4953;0.0169;8;37.88;;;
0.8639;0.0124;2;29.41;;;
0.7034;0.007;4;13.72;;;
0.4111;0.0185;8;40.93;;;
0.4;0.0337;10;82.94;;;
0.4678;0.0229;8;53.48;;;
0.7986;0.0107;2;23.04;;;
0.5413;0.0355;6;95.64;;;
0.4;0.0252;10;56.81;;;
0.5702;0.0112;5;22.32;;;
0.6046;0.0171;6;40.57;;;
0.7301;0.0052;3;7.55;;;
0.5225;0.0153;8;31.74;;;
0.6978;0.0242;4;62.25;;;
0.6403;0.0183;5;42.94;;;
0.6818;0.0102;4;21.5;;;
0.425;0.0463;9;121.98;;;
0.4941;0.0299;7;76.69;;;
0.6854;0.0149;5;34.82;;;
0.4866;0.0222;8;50.99;;;
0.6107;0.0117;5;24.98;;;
0.8417;0.0103;2;25.61;;;
0.4303;0.0312;8;77.93;;;
0.4606;0.0167;8;33.39;;;
0.4;0.0184;9;38.2;;;
0.4847;0.0165;7;35.99;;;
0.7772;0.0112;3;25.5;;;
0.5629;0.0145;7;29.61;;;
0.7295;0.0151;3;38.67;;;
0.7186;0.016;4;37.49;;;
0.844;0.0123;2;30.26;;;
0.4;0.021;9;45.31;;;
0.5903;0.0147;6;31.94;;;
0.5226;0.0322;6;84.79;;;
0.653;0.0147;5;33.52;;;
0.4;0.0286;10;68.78;;;
0.4266;0.0183;8;39.3;;;
0.7099;0.0104;4;21.69;;;
0.7668;0.0097;2;23.31;;;
0.6535;0.017;4;42.17;;;
0.698;0.0124;6;25.59;;;
0.5656;0.0257;6;65.39;;;
0.6742;0.0216;5;54.87;;;
0.8291;0.0228;3;62.03;;;
0.6574;0.0249;5;63.68;;;
0.4655;0.0221;8;49.82;;;
0.4099;0.0319;8;80.69;;;
0.4;0.0268;9;62.94;;;
0.651;0.0129;4;30.22;;;
0.4731;0.0266;9;63.09;;;
0.4097;0.015;9;28.3;;;
0.7341;0.0116;4;25.13;;;
0.5889;0.0188;6;42.86;;;
0.4928;0.0141;7;28.36;;;
0.7076;0.0125;3;29.88;;;
0.5588;0.0121;5;25.88;;;
0.6861;0.0242;4;64.14;;;
0.4;0.012;10;16.98;;;
0.6782;0.0107;5;23.13;;;
0.4922;0.011;7;18.43;;;
0.7867;0.0089;3;19.91;;;
0.5567;0.0114;7;20.48;;;
0.6664;0.0234;6;58.85;;;
0.7284;0.0109;3;23.16;;;
0.6384;0.0274;6;69.92;;;
0.4;0.0352;10;88.06;;;
0.5761;0.0393;7;102.7;;;
0.4973;0.0282;7;70.77;;;
0.6019;0.0269;5;70.14;;;
0.4;0.034;10;82.6;;;
0.8203;0.0054;2;11.67;;;
0.4171;0.0328;9;81.8;;;
0.6817;0.0217;5;54.3;;;
0.4;0.0307;9;75.56;;;
0.6832;0.0138;5;29.33;;;
0.4674;0.0261;8;62.81;;;
0.5707;0.0173;7;39.7;;;
0.6486;0.0149;4;34.9;;;
0.7226;0.0107;4;23.22;;;
0.5461;0.0161;6;35.19;;;
0.7887;0.0098;3;22.34;;;
0.4547;0.021;8;47.13;;;
0.4185;0.0308;8;77.61;;;
0.4;0.0205;10;43.06;;;
0.5077;0.0149;7;32.21;;;
0.6027;0.0119;5;25.42;;;
0.4;0.0215;9;46.77;;;
0.4857;0.0289;8;71.61;;;
0.5546;0.0134;7;26.84;;;
0.5277;0.0117;6;23.73;;;
0.6598;0.0125;5;27.13;;;
0.4;0.0208;10;43.78;;;
0.4226;0.0186;9;41.03;;;
0.7274;0.0098;3;20.4;;;
0.4897;0.0086;8;9.28;;;
0.6411;0.0086;4;16.62;;;
0.5263;0.0486;7;131.64;;;
0.783;0.0064;3;10.79;;;
0.6695;0.0158;4;36.77;;;
0.6382;0.0159;6;34.42;;;
0.5681;0.0356;7;93.24;;;
0.4441;0.0216;7;51.09;;;
0.5739;0.018;7;42.71;;;
0.4;0.0261;9;60.89;;;
0.4;0.0228;9;51.83;;;
0.532;0.0161;5;37.77;;;
0.6589;0.0092;5;15.54;;;
0.5372;0.0074;7;9.2;;;
0.4;0.0256;8;61.27;;;
0.658;0.0097;5;18.44;;;
0.5254;0.0284;6;73.39;;;
0.6066;0.0156;6;35.86;;;
0.6953;0.0137;4;30.66;;;
0.4952;0.0137;7;27.73;;;
0.4;0.0204;7;48.78;;;
0.6651;0.0265;5;69.15;;;
0.4404;0.0365;7;95.02;;;
0.4783;0.0101;6;18.88;;;
0.4;0.0246;8;57.91;;;
0.628;0.0136;6;29.3;;;
0.7036;0.0089;4;18.48;;;
0.5193;0.0174;6;39.18;;;
0.4231;0.0289;8;70.79;;;
0.4093;0.0234;8;56.5;;;
0.4;0.0248;10;58.02;;;
0.5162;0.0092;6;15.24;;;
0.613;0.0217;5;55.42;;;
0.6402;0.0306;5;82.66;;;
0.4975;0.0115;7;21.36;;;
0.4601;0.0378;9;95.88;;;
0.4;0.0458;9;119.04;;;
0.6036;0.0125;6;26.55;;;
0.893;0.0138;2;35.54;;;
0.4754;0.0301;8;75.15;;;
0.4385;0.0089;6;13.77;;;
0.5216;0.0292;7;74.28;;;
0.5339;0.0305;6;79;;;
0.5437;0.0088;6;13.62;;;
0.5059;0.0133;7;27.27;;;
0.4331;0.0299;7;75.54;;;
0.4759;0.0345;8;87.31;;;
0.8256;0.01;3;22.91;;;
0.4;0.0225;9;52.3;;;
0.4107;0.0258;8;62.75;;;
0.6999;0.0182;4;46.66;;;
0.7305;0.0091;2;20.84;;;
0.4243;0.0193;8;41.96;;;
0.6453;0.0066;5;9.23;;;
0.5524;0.0145;6;31.14;;;
0.5469;0.0283;6;72.33;;;
0.6784;0.0138;5;30.41;;;
0.7656;0.0075;3;15.34;;;
0.7244;0.0083;4;14.19;;;
0.74;0.0102;3;25.28;;;
0.4476;0.025;7;64.13;;;
0.6405;0.0193;6;43.79;;;
0.4;0.0443;8;117.48;;;
0.5035;0.0101;8;16.55;;;
0.7502;0.0109;3;25.91;;;
0.4941;0.018;7;40.42;;;
0.6887;0.0092;3;19.6;;;
0.5663;0.0182;7;40.25;;;
0.6962;0.0159;4;38.36;;;
0.6102;0.0108;4;22.67;;;
0.6718;0.0182;6;42.43;;;
0.4699;0.0126;7;23.44;;;
0.7285;0.0117;4;25.12;;;
0.7711;0.0053;3;8.68;;;
0.5546;0.0076;6;10.77;;;
0.5139;0.0218;8;50.38;;;
0.6097;0.0213;6;50.85;;;
0.5138;0.0375;7;98.53;;;
0.4;0.0265;9;63.07;;;
0.5397;0.0106;6;18.08;;;
0.4912;0.0349;8;89.58;;;
0.5587;0.0507;8;136.75;;;
0.6374;0.0295;4;79.35;;;
0.4743;0.0358;7;93.27;;;
0.4745;0.0263;8;64.99;;;
0.7207;0.008;3;15.74;;;
0.4;0.0242;8;57.29;;;
0.4578;0.0303;9;73.5;;;
0.7295;0.0083;4;15.92;;;
0.4;0.0462;10;119.48;;;
0.4914;0.0208;7;48.69;;;
0.4;0.034;10;83.08;;;
0.6584;0.0134;4;31.36;;;
0.5909;0.0301;6;78.68;;;
0.5568;0.0275;6;69.75;;;
0.5311;0.0368;7;96.86;;;
0.7218;0.0132;5;28.99;;;
0.7191;0.0143;4;31.14;;;
0.577;0.0256;6;65.22;;;
0.4566;0.0115;7;19.82;;;
0.6882;0.0105;4;23.49;;;
0.408;0.0348;9;86.49;;;
0.6571;0.0217;3;56.61;;;
0.6271;0.0094;4;18.89;;;
0.5948;0.0286;4;76.82;;;
0.5059;0.0076;7;9.06;;;
0.5527;0.0115;6;21.83;;;
0.5523;0.0213;6;50.9;;;
0.4;0.0448;10;115.69;;;
0.8912;0.0087;2;19.51;;;
0.4926;0.0252;8;59.88;;;
0.5438;0.0156;5;36.48;;;
0.4;0.036;10;89.32;;;
0.616;0.005;5;5.45;;;
0.6043;0.0315;6;81.44;;;
0.4;0.0383;10;97.28;;;
0.7885;0.0099;2;24.78;;;
0.8043;0.0138;3;33.99;;;
0.4847;0.0233;6;56.64;;;
0.407;0.0156;9;29.87;;;
0.5433;0.022;6;54.34;;;
0.6104;0.0119;5;26.14;;;
0.5584;0.0147;6;31.08;;;
0.4;0.0279;10;66.57;;;
0.608;0.0132;6;26.69;;;
0.5208;0.0188;6;44.24;;;
0.4801;0.0227;7;53.95;;;
0.4;0.0286;10;69.31;;;
0.6686;0.0098;4;20.45;;;
0.4;0.022;9;48.4;;;
0.6656;0.0093;5;16.48;;;
0.6945;0.0104;4;22.31;;;
0.7298;0.0172;5;40.48;;;
0.5645;0.0093;7;14.57;;;
0.7546;0.0091;3;20.47;;;
0.6638;0.0096;5;17.62;;;
0.8499;0.0089;2;19.88;;;
0.4524;0.0265;8;63.31;;;
0.5449;0.0199;7;46.28;;;
0.8471;0.0133;3;32.31;;;
0.765;0.0118;3;28.36;;;
0.4;0.0241;10;54.1;;;
0.5697;0.0191;6;44.75;;;
0.5756;0.014;7;28.61;;;
0.6199;0.0134;6;29.73;;;
0.542;0.0088;6;14.67;;;
0.5389;0.0242;4;62.22;;;
0.5557;0.0131;6;27.45;;;
0.6575;0.0273;6;70.18;;;
0.5847;0.0085;6;12.78;;;
0.4849;0.0127;6;26.21;;;
0.48;0.0261;6;66.08;;;
0.5403;0.0277;7;68.28;;;
0.4282;0.0246;10;55.55;;;
0.4879;0.0199;8;46.29;;;
0.4329;0.0201;8;46.97;;;
0.4;0.0293;8;72.6;;;
0.4293;0.0393;9;103;;;
0.588;0.0091;6;16.1;;;
0.4;0.0369;10;92.45;;;
0.6674;0.0164;3;43.35;;;
0.588;0.0111;4;25.33;;;
0.6235;0.0173;6;39.48;;;
0.7338;0.0154;4;37.26;;;
0.6244;0.0128;4;29.42;;;
0.7628;0.0105;4;20.05;;;
0.5647;0.0175;5;41.03;;;
0.4993;0.0212;8;49.72;;;
0.4;0.0261;9;62.9;;;
0.4364;0.0268;9;65.54;;;
0.4;0.03;10;72.07;;;
0.7197;0.0093;2;20.76;;;
0.4337;0.0247;8;59.55;;;
0.4;0.0217;10;46.77;;;
0.4471;0.0206;8;47.01;;;
0.5368;0.0141;8;27.27;;;
0.4724;0.0292;7;74.53;;;
0.6107;0.0167;6;36.57;;;
0.4214;0.0186;7;41.34;;;
0.7376;0.0066;4;11.26;;;
0.5871;0.0145;7;28.32;;;
0.792;0.0073;2;15.68;;;
0.7024;0.0246;3;65.42;;;
0.7775;0.0087;3;19.64;;;
0.5263;0.0178;6;40.82;;;
0.4985;0.0256;7;63.73;;;
0.6306;0.019;6;44.68;;;
0.5406;0.0112;6;21.98;;;
0.6988;0.0159;3;39.82;;;
0.4469;0.0283;8;68.79;;;
0.8553;0.0133;2;31.33;;;
0.4587;0.0129;8;25.39;;;
0.6543;0.012;5;25.49;;;
0.7378;0.0122;3;29.53;;;
0.6466;0.0106;4;24.57;;;
0.513;0.0228;7;54.44;;;
0.7309;0.0135;3;32.99;;;
0.8438;0.0092;3;20.64;;;
0.447;0.0156;8;32.32;;;
0.6336;0.0082;6;12.25;;;
0.4738;0.0134;7;27.29;;;
0.7974;0.0107;3;24.87;;;
0.7092;0.0158;4;40.02;;;
0.5301;0.0158;8;31.88;;;
0.73;0.0191;4;47.85;;;
0.5806;0.0126;6;26.35;;;
0.6378;0.0201;5;48.08;;;
0.4347;0.0357;8;92.41;;;
0.7284;0.0117;4;27.07;;;
0.8444;0.0078;2;17.99;;;
0.6816;0.0086;4;16.84;;;
0.4927;0.0192;8;42.64;;;
0.8264;0.0086;2;21.65;;;
0.6071;0.0106;5;21.24;;;
0.6221;0.0123;5;26.46;;;
0.4;0.0241;8;58.33;;;
0.4;0.0498;9;133.71;;;
0.5575;0.0101;7;17.36;;;
0.4567;0.0156;9;30.81;;;
0.5173;0.0164;6;37.84;;;
0.6661;0.0197;5;49.02;;;
0.7306;0.0117;3;28.55;;;
0.4709;0.023;7;56.54;;;
0.4567;0.0364;9;91.36;;;
0.4;0.0252;9;57.78;;;
0.5593;0.0174;7;38.82;;;
0.4;0.0223;10;49.58;;;
0.5684;0.0135;6;29.73;;;
0.4808;0.0106;7;19.23;;;
0.6025;0.0091;5;16.8;;;
0.4898;0.0189;9;40.75;;;
0.4939;0.009;7;15.36;;;
0.4;0.0345;10;83.81;;;
0.5401;0.0283;7;70.23;;;
0.5133;0.0093;6;15.89;;;
0.7967;0.0184;4;46.39;;;
0.7045;0.0122;4;27.37;;;
0.4;0.0408;10;104.13;;;
0.4;0.0265;9;63.3;;;
0.4;0.0308;10;72.84;;;
